Unnamed: 0,ID_POM,PROFIL_RFX,PS,CODE_IRIS,TYPE_LOG,CODE_INSEE,conso_moy
14351,2860401,RES2,9.0,60882402,0.0,6088,16994
14394,2953441,RES1,6.0,60880403,0.0,6088,2259
14417,20233841,RES2,9.0,31320000,1.0,3132,24661
14421,20199801,RES11,9.0,30250000,1.0,3025,5976
14508,2968661,RES11,12.0,60881004,1.0,6088,43027
14550,2893901,RES1,6.0,60330102,0.0,6033,8964
14568,3054481,RES2,6.0,60270111,0.0,6027,12432
14647,2384001,RES2,6.0,40700103,1.0,4070,24190
14662,2944861,RES1,3.0,60880204,0.0,6088,9910
14669,20494791,RES1,6.0,31850101,0.0,3185,5044
14684,2477311,RES11,9.0,42200000,0.0,4220,21347
14761,2993551,RES1,6.0,60882601,0.0,6088,10490
14822,2811091,RES2,6.0,60880502,0.0,6088,5953
14902,2676261,RES1,6.0,60883003,0.0,6088,5139
14956,20197751,RES1,6.0,30950102,0.0,3095,4786
15005,2347701,RES2,6.0,40190000,0.0,4019,0
15125,20205531,RES1,6.0,30950103,0.0,3095,3794
15136,1674561,RES2,6.0,60040108,0.0,6004,3558
15143,81536521,RES1,6.0,60290101,0.0,6029,9240
15164,3139391,RES1,6.0,60880103,0.0,6088,4203
15174,20228061,RES11,9.0,31840000,,3184,9430
15203,2623501,RES1,6.0,60882803,0.0,6088,2857
15213,2639181,RES2,6.0,60881306,0.0,6088,11601
15214,2962941,RES11,18.0,60330105,1.0,6033,18177
15371,2766411,RES1,6.0,60880205,0.0,6088,11783
15392,3114601,RES1,6.0,60880508,0.0,6088,8675
15400,2974291,RES1,6.0,60881503,0.0,6088,3030
15410,20184921,RES1,3.0,32860000,0.0,3286,4073
15474,3028731,RES1,6.0,60880901,0.0,6088,5426
15517,2810731,RES1,6.0,60270108,1.0,6027,8655
15572,15361271,RES1,3.0,10530503,0.0,1053,2204
15582,20260961,RES2,9.0,30950111,1.0,3095,11368
15601,2971281,RES1,6.0,60881705,0.0,6088,376
15623,2957551,RES2,6.0,60882701,0.0,6088,5113
15663,37130561,RES2,6.0,81050101,1.0,8105,15532
15708,20290481,RES1,6.0,31850106,0.0,3185,2911
15739,20452951,RES3,9.0,32790000,1.0,3279,19065
15743,2737611,RES2,6.0,61230105,0.0,6123,11147
15759,3110861,RES2,6.0,60882301,0.0,6088,6663
15763,37333881,RES1,6.0,26910401,1.0,2691,6179
15765,20451591,RES1,6.0,31850110,1.0,3185,7089
15789,20234711,RES1,3.0,30950105,1.0,3095,5719
15798,8047231,RES2,9.0,93320000,1.0,9332,25099
15827,2726671,RES1,6.0,60881304,0.0,6088,7814
15912,1740641,RES2,6.0,60290102,0.0,6029,1613
16037,20288791,RES11,9.0,31850113,0.0,3185,5742
16042,20492241,RES1,3.0,30980000,1.0,3098,9576
16049,1522531,RES2,6.0,60290117,0.0,6029,5046
16068,2911351,RES1,6.0,60880403,0.0,6088,3912
16152,2975461,RES2,6.0,60880305,0.0,6088,5928
16162,37384011,RES1,6.0,27220501,0.0,2722,3039
16180,3143561,RES1,6.0,60882803,0.0,6088,2408
